site,average
aargcomau,0.400250
abiequinecom,0.780230
activeboardcom,0.882303
adventuresinestrogenblogspotcom,0.750832
afsrechtsanwaeltede,0.535040
aimhigheracuk,0.600981
aldunningcom,0.996773
alitoloeeiblogfacom,0.159693
allpredatorcallscom,0.677125
allthingslakecom,0.857719
amarylliscreationscom,0.064398
americanfreedomwatchradiocom,0.999323
arkedustatearus,0.637131
arsenalartsorg,0.757598
artistsvswalmarttumblrcom,0.961351
askingsmarterquestionscom,0.859596
badhostesscom,0.662894
bicyclelacrossecom,0.357783
bloginstapapercom,0.995666
blogmattmelvincom,0.493456
bmbeautycojp,0.936538
bwjdesigncom,0.203024
campusrecreationtxstateedu,0.588358
carriebodlecom,0.995609
communityenhancetvcomau,0.999686
contigogobmx,0.468069
coupongreatcom,0.970583
dakchitypepadcom,0.999892
deepimpactumdedu,0.508595
designedcouk,0.600103
devonlehmancom,0.549072
dotfivecom,0.258332
eceuropaeu,0.263400
ecofurnituredesigncom,0.809761
europeanhistoryaboutcom,0.969581
excelsiorbrewcom,0.250164
farfetchcom,0.346611
firstdownsportsbarcom,0.830612
floridabankruptcyhelpcom,0.755636
frankmanzettiscom,0.999990
freddiehubbardmusiccom,0.991986
friendstertweakerscom,0.649625
gameendingscouk,0.906473
geekpopcouk,0.073811
goosecreekassnorg,0.291658
grahamowengallerycom,0.486833
greatlifetourscom,0.751925
grumpyoldmattcom,0.246502
horseracingbetfaircom,0.386199
hotelgarbiibizacom,0.393226
huguesblogscom,0.659479
humondeviantartcom,0.196129
hurricanecreekhomesteadcom,0.422770
ibntaimiahalislamcom,0.999595
ihacomcn,0.913686
ilfdinarwordpresscom,0.675415
infofedsca,1.000000
ishinnavicom,0.998780
jackcontebandcampcom,0.991551
joelargecom,0.730785
kathelinejeanpierrecom,0.601912
kenyaunorg,0.891167
kingtutshopcom,0.785483
ksmrsmumnedu,0.326406
landsbergjewelerscom,0.597855
lemailloncom,0.108124
lifestarrescuecom,0.568663
mattdennblogsdelawaregov,0.998414
mcdonaldscomtw,0.285377
meatthetruthcom,0.617583
medispaseattlecom,0.509622
mfeeltiptopcom,0.273250
minuautoremontee,0.854139
monicaespositoartcom,0.873589
mytopiacom,0.480745
nationalpolicyinstituteorg,0.602628
oafbca,0.561388
openlistca,0.507672
oxfordkarateacademycom,0.993845
pcballoonadventurescom,0.198181
penrynoakstablescom,0.711429
phpkitde,0.459791
plrme,0.760698
pnacinfo,0.913916
portalofevilcom,0.701280
praxisinternationalorg,0.264246
psccampscom,0.601252
quickieschicagoblogspotcom,0.983126
radionorthlandorg,0.675254
rockandroadde,0.912184
romaomaticcom,0.942554
rosenfeldmediacom,0.688934
rssowlorg,0.551577
rsssoftwarede,0.689125
rubyforgeorg,0.339718
saleshoecom,0.533012
sanfordblogspotcom,0.912128
sautewednesdaycom,0.706929
scvngrmobi,0.793181
stuartwebercom,0.174055
sudantimescom,0.750630
surveillanceandsocietyorg,0.295939
swcazedu,0.560240
tavshilcoil,0.508909
telapakorg,0.465736
tendollarlogoscom,0.567633
thelastgringocom,0.574016
thetexastheatrecom,0.725985
threatcorecom,0.552035
trekradionet,0.426391
ukraineusembassygov,0.958761
uuccharlotteorg,0.327565
wahmblogpostiecom,0.902041
wangulencom,0.288593
wcclinicalcom,0.331586
whalewatchneaqorg,0.998529
windandstarscom,0.700473
yesonbinfo,0.575957
yourhomestagingtorstardigitalnet,0.380693
yuedujo,0.302970
zentexturescom,0.326544
