site,alsum,random,aVrDif,temporal,aVtDiff
aargcomau,0.878475,0.997009,-0.118534,0.885385,-0.006910
abiequinecom,0.842053,0.932705,-0.090653,0.874833,-0.032780
activeboardcom,0.924154,0.978626,-0.054472,0.917361,0.006793
adventuresinestrogenblogspotcom,0.923514,0.932416,-0.008901,0.930074,-0.006560
afsrechtsanwaeltede,0.823626,0.831839,-0.008212,0.828276,-0.004650
aimhigheracuk,0.749563,0.750829,-0.001266,0.750395,-0.000832
aldunningcom,0.998512,0.998208,0.000304,0.998633,-0.000121
alitoloeeiblogfacom,0.404643,0.832456,-0.427814,0.707785,-0.303142
allpredatorcallscom,0.669747,0.986768,-0.317021,0.972570,-0.302823
allthingslakecom,0.671372,0.991527,-0.320156,0.992173,-0.320802
amarylliscreationscom,0.492740,0.749796,-0.257057,0.500100,-0.007360
americanfreedomwatchradiocom,0.999859,0.999901,-0.000042,0.999792,0.000067
arkedustatearus,0.403960,0.852057,-0.448097,0.865441,-0.461481
arsenalartsorg,0.523101,0.648825,-0.125724,0.648674,-0.125573
artistsvswalmarttumblrcom,0.967130,0.971043,-0.003913,0.971036,-0.003907
askingsmarterquestionscom,0.920263,0.921593,-0.001330,0.919140,0.001123
badhostesscom,0.799843,0.869583,-0.069740,0.799020,0.000823
bicyclelacrossecom,0.253118,0.841233,-0.588115,0.682433,-0.429315
bloginstapapercom,0.997942,0.997057,0.000885,0.994516,0.003426
blogmattmelvincom,0.752704,0.800491,-0.047787,0.695776,0.056928
bmbeautycojp,0.974918,1.000000,-0.025082,0.974917,0.000001
bwjdesigncom,0.000017,0.750006,-0.749988,0.250012,-0.249994
campusrecreationtxstateedu,0.791649,0.818031,-0.026381,0.837764,-0.046114
carriebodlecom,0.998943,0.998160,0.000783,0.993578,0.005366
communityenhancetvcomau,0.883561,0.999990,-0.116429,0.883684,-0.000123
contigogobmx,0.431324,0.774715,-0.343391,0.716957,-0.285633
coupongreatcom,0.985305,0.993438,-0.008133,0.983858,0.001446
dakchitypepadcom,0.999869,1.000000,-0.000131,0.999997,-0.000128
deepimpactumdedu,0.101074,0.996780,-0.895706,0.999994,-0.898920
designedcouk,0.750059,0.750050,0.000009,0.750059,0.000000
devonlehmancom,0.687804,0.683821,0.003984,0.684234,0.003571
dotfivecom,0.023246,0.295460,-0.272214,0.556049,-0.532803
eceuropaeu,0.647214,0.580233,0.066981,0.754978,-0.107763
ecofurnituredesigncom,0.928237,0.936264,-0.008027,0.957415,-0.029178
europeanhistoryaboutcom,0.981588,0.982503,-0.000916,0.986706,-0.005118
excelsiorbrewcom,0.572644,0.572669,-0.000025,0.713833,-0.141189
farfetchcom,0.396185,0.658647,-0.262462,0.483902,-0.087716
firstdownsportsbarcom,0.950082,0.899592,0.050490,0.944901,0.005181
floridabankruptcyhelpcom,0.812156,0.845815,-0.033659,0.845974,-0.033818
frankmanzettiscom,0.997572,0.997579,-0.000007,0.997572,-0.000000
freddiehubbardmusiccom,0.988751,0.999483,-0.010732,0.999162,-0.010410
friendstertweakerscom,0.256100,0.974188,-0.718089,0.982048,-0.725949
gameendingscouk,0.758805,0.759760,-0.000955,0.997271,-0.238466
geekpopcouk,0.674477,0.266039,0.408438,0.338371,0.336107
goosecreekassnorg,0.333197,0.719131,-0.385934,0.333360,-0.000163
grahamowengallerycom,0.797990,0.801299,-0.003309,0.965463,-0.167473
greatlifetourscom,0.685934,0.664103,0.021830,0.690474,-0.004540
grumpyoldmattcom,0.673910,0.256419,0.417491,0.307921,0.365989
horseracingbetfaircom,0.505260,0.884045,-0.378785,0.610868,-0.105607
hotelgarbiibizacom,0.671508,0.700646,-0.029139,0.700115,-0.028607
huguesblogscom,0.846032,0.833858,0.012173,0.827674,0.018358
humondeviantartcom,0.403997,0.752484,-0.348488,0.607431,-0.203434
hurricanecreekhomesteadcom,0.452334,0.667197,-0.214863,0.390090,0.062244
ibntaimiahalislamcom,0.999893,0.999889,0.000004,0.999920,-0.000027
ihacomcn,0.993912,0.999285,-0.005373,0.827964,0.165947
ilfdinarwordpresscom,0.836951,0.895529,-0.058578,0.849134,-0.012183
infofedsca,1.000000,1.000000,0.000000,1.000000,0.000000
ishinnavicom,0.999839,0.999839,0.000000,0.999839,-0.000000
